Distributor,Genre,Original Language,Release Date (Streaming),Runtime,Director,Producer,Production Co,Rating,Screenwriter,Release Date (DVD),Release Date (Theaters),Sound Mix,Aspect Ratio,Box Office (Gross USA),Rerelease Date (Theaters),Creator,title
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",The Pigeon Tunnel
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",The Night of the 12th
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",This Is Me... Now: A Love Story
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Trolls World Tour
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",17 Blocks
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Assassin
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Fire
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Look Both Ways
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris","Love, Guaranteed"
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",American Symphony
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Journey to Bethlehem
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Midnight Family
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Sea Level 3: Dolphin Boy
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Skelly
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",The Curse of Bridge Hollow
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",The Rat Catcher
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",Wifelike
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris","Relax, I'm from the Future"
One Tree Entertainment,"Comedy,Romance,LGBTQ+",English,"Oct 1, 2024",1h 16m,David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",Peculiar Película,PG (Rude Humor|Some Thematic Elements),David Lewis,"Sep 30, 2003","Jun 18, 2022, Limited",Dolby,Scope (2.35:1),$180.1K,"Feb 18, 2006","Scott ""Kid Cudi"" Mescudi,Kenya Barris",The Addams Family 2
