Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
Paul King,"David Heyman,Alexandra Derbyshire,Luke Kelly","Simon Farnaby,Paul King",Warner Bros. Pictures,Heyday Films,PG (Some Violence|Mild Language|Thematic Elements),"Kids & Family,Musical,Comedy,Fantasy",English,"Dec 15, 2023, Wide","Jan 30, 2024",$218.4M,1h 56m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Wonka,,,
Brad Anderson,Eric Paquette,Dan Hall,Republic Pictures,"Orogen Entertainment,Valletta Pictures,Meridian Pictures,AGC Studios",R (Pervasive Language|Violence|Some Drug Material),"Action,Mystery & Thriller",English,"Oct 11, 2024, Limited","Oct 11, 2024",,1h 39m,,Scope (2.35:1),The Silent Hour,,,
"Joaquim Dos Santos,Kemp Powers,Justin K. Thompson","Christopher Miller,Phil Lord,Amy Pascal,Avi Arad,Christina Steinberg","Phil Lord,Christopher Miller,David Callaham",Sony Pictures,"Sony Pictures Entertainment (SPE),Lord Miller,Sony Pictures Animation,Arad Productions,Marvel Entertainment,Pascal Pictures",PG (Some Language|Animated Action Violence|Thematic Elements),"Kids & Family,Action,Adventure,Comedy,Fantasy,Animation",English,"Jun 2, 2023, Wide","Aug 8, 2023",$381.2M,2h 20m,"Dolby Digital,Dolby Atmos,SDDS",Digital 2.39:1,Spider-Man: Across the Spider-Verse,,,
"Adam Nee,Aaron Nee","Liza Chasin,Sandra Bullock,Seth Gordon","Oren Uziel,Dana Fox,Adam Nee,Aaron Nee",Paramount Pictures,"Fortis Films,Exhibit A Pictures,3dot productions",PG-13 (Partial Nudity|Language|Some Bloody Images|Suggestive Material|Violence),"Romance,Comedy,Adventure,Action",English,"Mar 25, 2022, Wide","May 10, 2022",$104.9M,1h 52m,,Scope (2.35:1),The Lost City,,,
Rawson Marshall Thurber,"Hiram Garcia,Dany Garcia,Rawson Marshall Thurber,Beau Flynn,Dwayne Johnson",Rawson Marshall Thurber,Netflix,"Netflix,Seven Bucks Productions,Bad Version,Flynn Picture Company",PG-13 (Strong Language|Some Sexual References|Violence and Action),"Action,Comedy",English,"Nov 5, 2021, Limited","Nov 12, 2021",,1h 57m,Dolby Atmos,Scope (2.35:1),Red Notice,,,
Olivier Masset-Depasse,"Jacques-Henri Bronckart,Olivier Bronckart",,,,,"Drama,Mystery & Thriller",French (France),,"Jan 16, 2020",,1h 37m,,,Mothers' Instinct,,,
Matthew Vaughn,"Matthew Vaughn,Adam Bohling,David Reid,Jason Fuchs",Jason Fuchs,Universal Pictures,Cloudy,PG-13 (Strong Violence and Action|Some Strong Language),"Action,Adventure,Comedy,Drama,Mystery & Thriller",English,"Feb 2, 2024, Wide","Mar 5, 2024",$45.2M,2h 19m,"Dolby Digital,Dolby Atmos",Digital 2.39:1,Argylle,,,
Jane Campion,"Jane Campion,Iain Canning,Roger Frappier,Tanya Seghatchian,Emile Sherman",Jane Campion,Netflix,"New Zealand Film Commission,BBC Films,See-Saw Films,Max Films International,Brightstar Films,Cross City Films",R (Full Nudity|Brief Sexual Content),"Western,Drama,Romance",English,"Nov 17, 2021, Limited","Dec 1, 2021",,2h 8m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,The Power of the Dog,,,
Laurent Bouzereau,"Sara Bernstein,Laurent Bouzereau,Justin Falvey,Darryl Frank,Steven Spielberg,Brian Grazer,Ron Howard,Justin Wilkes,Meredith Kaulfers,Kathleen Kennedy,Frank Marshall",,Disney+,"Lucasfilm,Amblin Documentaries,Imagine Documentaries",PG (Brief Language|Some Violence|Smoking),"Documentary,Biography,Music",English,"Nov 1, 2024, Limited","Nov 1, 2024",,1h 45m,Dolby Digital,,Music by John Williams,,,
"Matt Bettinelli-Olpin,Tyler Gillett","William Sherak,James Vanderbilt,Paul Neinstein","James Vanderbilt,Guy Busick",Paramount Pictures,"Spyglass Media Group,Radio Silence,Project X Entertainment",R (Language Throughout|Brief Drug Use|Strong Bloody Violence),"Holiday,Horror,Mystery & Thriller",English,"Mar 10, 2023, Wide","Apr 25, 2023",$108.1M,2h 3m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Scream VI,,,
