Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Sound Mix,title,Box Office (Gross USA),Aspect Ratio,Rerelease Date (Theaters),Release Date (DVD)
Steve McQueen,"Floor Onrust,Steve McQueen,Anna Smith Tenser,Bianca Stigter",Bianca Stigter,A24,"September Film Distribution,Lammas Park,Family Affair Films,Regency Enterprises,Film4,A24",PG-13 (Smoking|Sexual Material|Brief Drug Use|Strong Language|Thematic Material),"Documentary,History,War",English,"Dec 25, 2023, Limited","Feb 23, 2024",4h 0m,Dolby Digital,Occupied City,,,,
Liang Qiao,,Liying Song,,,,"Drama,Romance",Chinese,,"Nov 18, 2020",1h 40m,,Puppy Love,,,,
Herbert James Winterstern,"Nathan Klingher,Ryan Donnell Smith,Ryan Winterstern","Herbert James Winterstern,Anna Elizabeth James",Saban Films,"Volition Media Partners,Short Porch Pictures,Thomasville Pictures,Buffalo 8 Productions,Bay Point Media,Streamline Global Group",PG-13 (Some Peril|Smoking|Language),"Adventure,Mystery & Thriller",English,"Mar 17, 2023, Limited","Mar 17, 2023",1h 40m,,Supercell,,,,
Unknown Director,,,,,,Documentary,English,,"Oct 12, 2022",1h 18m,,The Greatest Lie Ever Sold: George Floyd and the Rise of BLM,,,,
Ian Samuels,"Ashley Fox,Akiva Goldsman,Gregory Lessans,Aaron Ryder",Lev Grossman,,"FilmNation Entertainment,Weed Road Pictures",PG-13 (Brief Strong Language|Some Teen Drinking|Sexual References),"Romance,Comedy,Fantasy,Drama",English,,"Feb 12, 2021",1h 39m,,The Map of Tiny Perfect Things,,,,
Jennifer Reeder,Steven Hudosh,Jennifer Reeder,,,,"Comedy,Drama,Musical",English,,,28m,,A Million Miles Away,,,,
Jose G. Ramos,Jose G. Ramos,,Vimeo,,,Drama,English,"Feb 6, 2016, Original",,1h 30m,,Lights Out,,,,
Bruce Wemple,,Anna Shields,,"377 Films,Traverse Terror",,"Horror,Mystery & Thriller",English,,"Aug 11, 2020",1h 26m,,Monstrous,,,,
John Carl Buechler,,,,"Empire Pictures,Altar Productions",PG-13,"Fantasy,Comedy,Horror",English,"Jan 17, 1986, Limited","Sep 16, 2008",1h 26m,Surround,Troll,$4.5M,,,
Edwin L. Marin,Joan Harrison,Jonathan Latimer,RKO Radio Pictures,RKO Radio Pictures Inc.,,"Crime,Drama",English,"Nov 11, 1946, Original","Sep 1, 2009",1h 28m,,Nocturne,,,,
Sydney Macartney,"Gerry Gregg,Alan Moloney,Tim Palmer",Deirdre Dowling,The Cinema Guild,"BBC,Raidio Teilifis Eireann,Parallel Film Productions Ltd.",,Drama,English,"May 14, 1999, Original",,1h 38m,Stereo,"Love, Divided",,,,
Kornél Mundruczó,"Ashley Levinson,Aaron Ryder,Kevin Turen",Kata Wéber,Netflix,"BRON Studios,Little Lamb,Creative Wealth Media Finance",R (Language|Graphic Nudity|Brief Drug Use|Sexual Content),Drama,English,"Dec 30, 2020, Limited","Jan 7, 2021",2h 6m,,Pieces of a Woman,,Flat (1.85:1),,
Ned Benson,"Michael London,Shannon Gaulding,Stephanie Davis,Cassandra Kulukundis,Ned Benson",Ned Benson,Searchlight Pictures,"Far Hills Pictures,Searchlight Pictures,Groundswell Productions",PG-13 (Drug Use|Suggestive Material|Strong Language),"Drama,Romance,Comedy,Musical",English,"Apr 5, 2024, Limited","Apr 12, 2024",1h 34m,,The Greatest Hits,,,,
Gabriel Bier Gislason,Thomas Heinesen,"Gabriel Bier Gislason,Gabriel Bier Gislason",,Nordisk Film,,"Drama,Mystery & Thriller,Horror,Comedy,Romance,LGBTQ+",Danish,,"Feb 9, 2023",1h 45m,,Attachment,,,,
George Tillman Jr.,David Zelon,"Frank Baldwin,George Tillman Jr.,Dan Gordon",Columbia Pictures,"State Street Pictures,Affirm Films,Sony Pictures Entertainment (SPE),Mandalay Pictures",PG-13 (Some Sports Violence),"Biography,Drama,Sports",English,"Apr 28, 2023, Wide","May 16, 2023",2h 9m,Dolby Digital,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,$5.3M,,,
Walt Becker,"Jordan Kerner,Iole Lucchese","Jay Scherick,David Ronn,Blaise Hemingway",Paramount Pictures,"Scholastic Entertainment Inc.,Paramount Pictures,New Republic Pictures,eOne,Kerner Entertainment",PG (Mild Action|Impolite Humor|Thematic Elements),"Kids & Family,Comedy,Adventure",English,"Nov 10, 2021, Wide","Nov 10, 2021",1h 37m,Dolby Digital,Clifford the Big Red Dog,$48.9M,,,
François Dupeyron,René Cleitman,François Dupeyron,,,,Horror,English,,,1h 36m,,The Machine,,,,
Jack Piandaryan,,,,,R (Some Drug Use|Brief Violence|Sexuality|Language),Drama,English,,"Apr 6, 2017",1h 30m,,Parallel,,,,
Seth Barrish,,,Netflix,,,"Comedy,Musical,Stand-Up",English,,"Oct 15, 2024",1h 17m,,"Rachel Bloom: Death, Let Me Do My Special",,,,
Gordon Shoemaker Foxwood,"Patrick Robert Young,Powell Robinson",Gordon Shoemaker Foxwood,Gravitas Ventures,"Big Bad Film,New Mythology Productions",,"Fantasy,Horror,Drama,Mystery & Thriller",English,"Jun 11, 2024, Limited","Jun 11, 2024",1h 39m,,Wild Eyed and Wicked,,,,
Tim Kirkby,"Brad Feinstein,Andrew Lazar,Steven Shainberg,Christina Weiss Lurie",Howard Michael Gould,RLJE Films,"Romulus Entertainment,Head Gear Films,Metrol Technology,MadRiver International,Waldo Film Productions",R,"Action,Comedy",English,"Feb 4, 2022, Limited","Feb 4, 2022",1h 51m,,Last Looks,,Scope (2.35:1),,
William Eubank,"Jason Blum,Oren Peli",Christopher Landon,,"Room 101 Inc.,Paramount Players,Solana Films,Blumhouse Productions",R (Violence and Bloody Images|Language Throughout),"Horror,Mystery & Thriller",English,,"Oct 29, 2021",1h 38m,Dolby Digital,Paranormal Activity: Next of Kin,,Scope (2.35:1),,
