title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score,media_url
Things to Come,"Streaming May 1, 2017",positive,99%,positive,71%,/m/things_to_come_2016
Three Men and a Baby,"Streaming Jan 1, 2014",positive,67%,negative,48%,/m/three_men_and_a_baby
Time for Him to Come Home for Christmas,"Streaming Nov 26, 2022",,,positive,86%,/m/time_for_him_to_come_home_for_christmas
Tyler Perry's A Madea Homecoming,"Streaming Feb 25, 2022",negative,36%,positive,75%,/m/tyler_perrys_a_madea_homecoming
Volver,"Streaming Jan 28, 2015",positive,91%,positive,89%,/m/volver
Youth in Revolt,"Streaming Sep 10, 2015",positive,66%,negative,52%,/m/youth_in_revolt
"20,000 Leagues Under the Sea","Streaming Mar 1, 2013",positive,90%,positive,74%,/m/1000079-20000_leagues_under_the_sea
21 and Over,"Streaming Jun 18, 2013",negative,26%,negative,46%,/m/21_and_over
88 Minutes,"Streaming Jan 1, 2012",negative,5%,negative,44%,/m/88_minutes
A Field in England,"Streaming Aug 10, 2016",positive,86%,negative,58%,/m/a_field_in_england
Battle for the Planet of the Apes,"Streaming Mar 1, 2013",negative,33%,negative,30%,/m/battle_for_the_planet_of_the_apes
Bedevilled,"Streaming Oct 9, 2012",positive,89%,positive,82%,/m/bedevilled_2010
Beverly Hills Cop III,"Streaming Aug 20, 2008",negative,10%,negative,35%,/m/beverly_hills_cop_3
Bibi,"Streaming Sep 27, 2024",positive,100%,,,/m/bibi_2023
Blue Streak,"Streaming Jul 27, 2010",negative,35%,positive,64%,/m/blue_streak
Bottle Shock,"Streaming Nov 29, 2016",negative,48%,negative,58%,/m/bottle_shock
Cadillac Records,"Streaming Apr 16, 2012",positive,66%,positive,65%,/m/cadillac_records
Coogan's Bluff,"Streaming Sep 11, 2015",positive,95%,negative,50%,/m/coogans_bluff
Dying of the Light,"Streaming Nov 12, 2015",negative,13%,negative,15%,/m/dying_of_the_light
Equals,"Streaming Nov 18, 2016",negative,36%,negative,43%,/m/equals_2016
Evita,"Streaming Dec 13, 2015",positive,64%,positive,68%,/m/evita
Extortion,"Streaming May 16, 2017",,,negative,53%,/m/extortion_1988
Girl in the Bunker,"Streaming May 29, 2018",,,negative,53%,/m/girl_in_the_bunker
Half Baked,"Streaming Oct 1, 2014",negative,28%,positive,81%,/m/half_baked
Mortdecai,"Streaming Jun 28, 2016",negative,12%,negative,31%,/m/mortdecai
Never Look Away,"Streaming May 14, 2019",positive,77%,positive,87%,/m/never_look_away
On Golden Pond,"Streaming Nov 19, 2016",positive,91%,positive,87%,/m/on_golden_pond
Once Were Warriors,"Streaming Oct 18, 2016",positive,93%,positive,95%,/m/once_were_warriors
Passchendaele,"Streaming Apr 28, 2017",negative,36%,negative,57%,/m/1218219-passchendaele
Poltergeist II,"Streaming Sep 16, 2008",negative,20%,negative,35%,/m/poltergeist_ii_the_other_side
Saaho,"Streaming Oct 21, 2019",negative,8%,negative,55%,/m/saaho
Sex Doll,"Streaming Jul 10, 2017",negative,0%,negative,39%,/m/sex_doll
Shoot 'Em Up,"Streaming Apr 1, 2010",positive,67%,positive,65%,/m/shoot_em_up
Sin nombre,"Streaming Aug 10, 2016",positive,88%,positive,89%,/m/10009823-sin_nombre
Superpower Dogs,"Streaming Jul 11, 2020",positive,100%,positive,88%,/m/superpower_dogs
The Conformist,"Streaming Oct 24, 2014",positive,98%,positive,90%,/m/the_conformist
The Last Right,"Streaming Apr 6, 2021",positive,67%,positive,79%,/m/the_last_right
The Last Thing He Wanted,"Streaming Feb 21, 2020",negative,5%,negative,14%,/m/the_last_thing_he_wanted
The Magic of Belle Isle,"Streaming Sep 26, 2013",negative,31%,positive,63%,/m/the_magic_of_belle_isle
The Secret Garden,"Streaming Aug 7, 2020",positive,66%,negative,43%,/m/the_secret_garden_2020
The Sons of Katie Elder,"Streaming Jan 21, 2010",positive,100%,positive,81%,/m/sons_of_katie_elder
The Tank,"Streaming Apr 25, 2023",negative,29%,negative,24%,/m/the_tank_2023
Thoroughbreds,"Streaming May 22, 2018",positive,87%,positive,68%,/m/thoroughbreds_2018
Tracks,"Streaming Feb 10, 2015",positive,82%,positive,77%,/m/tracks_2013
"Welcome Home, Roxy Carmichael","Streaming Aug 20, 2018",negative,55%,negative,47%,/m/welcome_home_roxy_carmichael
2046,"Streaming Jun 18, 2020",positive,87%,positive,85%,/m/2046
3 Days in Havana,"Streaming Jul 15, 2016",,,negative,31%,/m/three_days_in_havana
47 Meters Down: Uncaged,"Streaming Aug 27, 2019",negative,45%,positive,68%,/m/47_meters_down_uncaged
Aquarius,"Streaming Apr 20, 2017",positive,97%,positive,78%,/m/aquarius
Being Julia,"Streaming Mar 8, 2017",positive,76%,positive,74%,/m/being_julia
Between Two Ferns: The Movie,"Streaming Sep 20, 2019",positive,73%,negative,44%,/m/between_two_ferns_the_movie
Brief Encounter,"Streaming Nov 18, 2016",positive,93%,positive,91%,/m/1003094-brief_encounter
Conan the Barbarian,"Streaming Jul 9, 2013",negative,25%,negative,30%,/m/conan_the_barbarian_2011
Date Movie,"Streaming Oct 1, 2014",negative,7%,negative,35%,/m/1155470-date_movie
Deep Fear,"Streaming Nov 3, 2023",,,negative,28%,/m/deep_fear_2023
God's Country,"Streaming Oct 4, 2022",positive,88%,negative,50%,/m/gods_country_2022
I Still Believe,"Streaming Mar 26, 2020",negative,50%,positive,98%,/m/i_still_believe
Jolt,"Streaming Jul 23, 2021",negative,40%,negative,38%,/m/jolt
Kabir Singh,"Streaming Sep 19, 2019",negative,23%,positive,79%,/m/kabir_singh
My Oni Girl,"Streaming May 24, 2024",positive,63%,negative,48%,/m/my_oni_girl
Q & A,"Streaming Nov 15, 2013",positive,88%,negative,58%,/m/q_and_a
Rachel Getting Married,"Streaming Apr 24, 2009",positive,85%,positive,62%,/m/rachel_getting_married
Rio Lobo,"Streaming Apr 18, 2017",positive,70%,positive,70%,/m/rio_lobo
Skylines,"Streaming Dec 18, 2020",negative,54%,negative,21%,/m/skylines
Superman: Doomsday,"Streaming Jun 13, 2016",negative,57%,negative,57%,/m/superman_doomsday
Teen Titans Go! Vs. Teen Titans,"Streaming Sep 24, 2019",positive,100%,positive,88%,/m/teen_titans_go_vs_teen_titans
The Anderson Tapes,"Streaming Jan 1, 2012",positive,75%,negative,53%,/m/anderson_tapes
The Blackout,"Streaming May 22, 2020",negative,57%,positive,62%,/m/the_blackout_invasion_earth
The Journey,"Streaming Nov 7, 2017",positive,67%,positive,65%,/m/the_journey_2017
The Mosquito Coast,"Streaming Dec 7, 2016",positive,78%,positive,61%,/m/the_mosquito_coast
The Portrait,"Streaming Dec 8, 2023",positive,86%,negative,41%,/m/the_portrait_2023
The Rescuers Down Under,"Streaming Jan 1, 2014",positive,72%,positive,68%,/m/rescuers_down_under
The Roads Not Taken,"Streaming May 22, 2020",negative,43%,negative,28%,/m/the_roads_not_taken
The Secret of Kells,"Streaming Nov 30, 2016",positive,90%,positive,85%,/m/the-secret-of-kells
Transfusion,"Streaming Mar 3, 2023",positive,62%,negative,43%,/m/transfusion_2022
Walk of Shame,"Streaming May 2, 2014",negative,15%,negative,38%,/m/walk_of_shame_2013
When We Met,"Streaming May 29, 2015",positive,100%,positive,90%,/m/jab_we_met
Wildlike,"Streaming Mar 22, 2016",positive,93%,positive,76%,/m/wildlike
Yeh Jawaani Hai Deewani,"Streaming Nov 30, 2016",positive,70%,positive,65%,/m/yeh_jawaani_hai_deewani_2013
Adulterers,"Streaming Feb 7, 2017",,,negative,38%,/m/adulterers_2015
Against All Odds,"Streaming Jun 1, 2012",positive,64%,negative,45%,/m/against_all_odds
Airplane II: The Sequel,"Streaming Jan 21, 2010",negative,42%,negative,50%,/m/airplane_2_the_sequel
An Acceptable Loss,"Streaming Jan 18, 2019",negative,12%,positive,71%,/m/an_acceptable_loss
As Good as Dead,"Streaming Dec 16, 2022",positive,83%,negative,57%,/m/as_good_as_dead_2022
BASEketball,"Streaming Jun 15, 2012",negative,41%,positive,74%,/m/baseketball
"Bardo, False Chronicle of a Handful of Truths","Streaming Dec 16, 2022",positive,60%,positive,68%,/m/bardo_false_chronicle_of_a_handful_of_truths
Beckett,"Streaming Aug 13, 2021",negative,49%,negative,33%,/m/beckett
Beverly Hills Ninja,"Streaming Apr 16, 2012",negative,13%,negative,53%,/m/beverly_hills_ninja
Bleeding Love,"Streaming Feb 16, 2024",negative,56%,positive,78%,/m/bleeding_love
Butterfly in the Sky,"Streaming Apr 30, 2024",positive,100%,positive,90%,/m/butterfly_in_the_sky
Desert Flower,"Streaming Mar 23, 2017",negative,50%,positive,72%,/m/joannas-flower-power-flower-design2007
Doctor Jekyll,"Streaming Aug 2, 2024",negative,40%,positive,76%,/m/doctor_jekyll
"DuckTales, the Movie: Treasure of the Lost Lamp","Streaming Jan 1, 2014",positive,100%,positive,69%,/m/ducktales-the-movie
Ernest Scared Stupid,"Streaming Aug 10, 2016",negative,22%,negative,51%,/m/ernest-scared-stupid
Experimenter,"Streaming Jan 5, 2017",positive,85%,positive,61%,/m/experimenter
Flowers in the Attic,"Streaming Aug 10, 2016",negative,52%,negative,39%,/m/flowers_in_the_attic_2014
Friday the 13th Part VII -- The New Blood,"Streaming Jan 21, 2010",negative,33%,negative,37%,/m/friday_the_13th_part_7_the_new_blood
From Paris With Love,"Streaming Mar 17, 2013",negative,37%,negative,54%,/m/from_paris_with_love
Funny Girl,"Streaming Apr 16, 2012",positive,94%,positive,85%,/m/funny_girl
"Game Over, Man!","Streaming Mar 23, 2018",negative,19%,negative,48%,/m/game_over_man
Hustle & Flow,"Streaming Aug 1, 2013",positive,83%,positive,82%,/m/hustle_and_flow
Inherit the Witch,"Streaming Sep 24, 2024",,,,,/m/inherit_the_witch
Jay and Silent Bob Strike Back,"Streaming Nov 8, 2016",negative,52%,positive,75%,/m/jay_and_silent_bob_strike_back
Jesus Christ Superstar,"Streaming Apr 19, 2016",negative,50%,positive,76%,/m/1011028-jesus_christ_superstar
John Carpenter's Ghosts of Mars,"Streaming Apr 27, 2013",negative,23%,negative,25%,/m/john_carpenters_ghosts_of_mars
Karan Arjun,"Streaming Nov 30, 2016",,,positive,70%,/m/karan_arjun
Kon-Tiki,"Streaming Oct 14, 2014",positive,83%,positive,77%,/m/kon_tiki_2012
Little Girl Lost: The Delimar Vera Story,"Streaming Nov 30, 2016",,,positive,86%,/m/little-girl-lost-the-delimar-vera-story
Love in Taipei,"Streaming Aug 10, 2023",positive,68%,positive,74%,/m/love_in_taipei
M*A*S*H,"Streaming Aug 10, 2016",positive,86%,positive,82%,/m/mash
Night of the Demons,"Streaming Jan 8, 2017",negative,53%,negative,59%,/m/night_of_the_demons
O.G.,"Streaming Mar 25, 2019",positive,89%,positive,66%,/m/og
Raw Deal,"Streaming Oct 6, 2016",negative,31%,negative,29%,/m/1017226-raw_deal
Santa Sangre,"Streaming Aug 18, 2016",positive,89%,positive,87%,/m/santa_sangre
School for Scoundrels,"Streaming Aug 10, 2016",negative,26%,negative,52%,/m/school_for_scoundrels
Southland Tales,"Streaming Jan 27, 2015",negative,41%,negative,41%,/m/southland_tales
Street Fighter,"Streaming Apr 19, 2016",negative,11%,negative,20%,/m/1058516-street_fighter
Suburbicon,"Streaming Jan 23, 2018",negative,27%,negative,26%,/m/suburbicon
Sweetwater,"Streaming May 2, 2023",negative,26%,positive,95%,/m/sweetwater
The Adventures of Buckaroo Banzai Across the Eighth Dimension,"Streaming Sep 16, 2008",positive,66%,positive,69%,/m/the_adventures_of_buckaroo_banzai
The Angriest Man in Brooklyn,"Streaming Apr 12, 2016",negative,9%,negative,30%,/m/the_angriest_man_in_brooklyn
The Crush,"Streaming Aug 10, 2016",negative,28%,negative,42%,/m/1042416-crush
The Departure,"Streaming Jan 9, 2018",positive,100%,positive,100%,/m/the_departure_2017
The Duchess,"Streaming Jun 15, 2011",positive,62%,positive,67%,/m/10009493-duchess
The Exception,"Streaming May 30, 2017",positive,75%,positive,67%,/m/the_exception
The Great Mouse Detective,"Streaming Jan 1, 2014",positive,78%,positive,79%,/m/the-great-mouse-detective
The Immigrant,"Streaming Feb 20, 2015",positive,85%,positive,60%,/m/the_immigrant_2014
The Inventor,"Streaming Nov 7, 2023",positive,76%,negative,59%,/m/the_inventor
The Lady Eve,"Streaming Mar 18, 2014",positive,99%,positive,87%,/m/lady_eve
The Subtle Art of Not Giving a #@%!,"Streaming Jan 10, 2023",positive,71%,negative,39%,/m/the_subtle_art_of_not_giving_a_at_percent
The Triplets of Belleville,"Streaming Apr 16, 2012",positive,94%,positive,90%,/m/the_triplets_of_belleville
Too Big to Fail,"Streaming Aug 10, 2016",positive,77%,positive,75%,/m/too_big_to_fail_2011
Trump 2024: The World After Trump,"Streaming Nov 25, 2020",,,,,/m/trump_2024_the_world_after_trump
Waiting for the Barbarians,"Streaming Aug 7, 2020",negative,54%,positive,60%,/m/waiting_for_the_barbarians_2020
Walking Tall,"Streaming Jan 5, 2017",positive,77%,positive,71%,/m/1023007-walking_tall
