title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score,media_url
Temple Grandin,"Streaming Aug 10, 2016",positive,100%,positive,94%,/m/temple_grandin
The Hobbit: The Desolation of Smaug,"Streaming Sep 25, 2014",positive,74%,positive,85%,/m/the_hobbit_the_desolation_of_smaug
The Hunger Games: Catching Fire,"Streaming Aug 26, 2016",positive,90%,positive,89%,/m/the_hunger_games_catching_fire
Devil's Men,"Streaming Sep 17, 2024",,,,,/m/devils_men
The Place Beyond the Pines,"Streaming Dec 9, 2015",positive,79%,positive,75%,/m/the_place_beyond_the_pines_2012
Martyrs,"Streaming Aug 10, 2016",positive,64%,positive,69%,/m/martyrs
Mr. Harrigan's Phone,"Streaming Oct 5, 2022",negative,46%,negative,50%,/m/mr_harrigans_phone
The Time Traveler's Wife,"Streaming Nov 2, 2011",negative,38%,negative,59%,/m/time_travelers_wife
How to Be Single,"Streaming May 3, 2016",negative,45%,negative,47%,/m/how_to_be_single_2016
I.S.S.,"Streaming Feb 6, 2024",positive,61%,negative,44%,/m/iss
Time Trap,"Streaming Nov 15, 2018",positive,67%,positive,63%,/m/time_trap
Lolita,"Streaming Jan 12, 2017",positive,69%,positive,75%,/m/1084881-lolita
Maestro,"Streaming Dec 20, 2023",positive,78%,negative,57%,/m/maestro_2023
The Upside,"Streaming May 14, 2019",negative,43%,positive,82%,/m/the_upside
Army of Thieves,"Streaming Oct 29, 2021",positive,69%,positive,69%,/m/army_of_thieves
Fast Five,"Streaming Jan 1, 2015",positive,78%,positive,83%,/m/fast_five
Labyrinth,"Streaming Oct 9, 2011",positive,77%,positive,86%,/m/labyrinth
Camera,"Streaming Jul 23, 2024",,,positive,99%,/m/camera_2024
Sully,"Streaming Dec 6, 2016",positive,85%,positive,84%,/m/sully
The Fast and the Furious,"Streaming Sep 10, 2015",negative,55%,positive,74%,/m/1108372-fast_and_the_furious
The Other Woman,"Streaming Nov 21, 2014",negative,27%,negative,57%,/m/the_other_woman_2014
Before Dawn,"Streaming Jul 19, 2024",negative,33%,positive,85%,/m/before_dawn_2024
The Boy Next Door,"Streaming Jan 26, 2016",negative,12%,negative,34%,/m/the_boy_next_door_2015
After Everything,"Streaming Oct 3, 2023",,,positive,80%,/m/after_everything_2023
Bad Times at the El Royale,"Streaming Dec 18, 2018",positive,75%,positive,75%,/m/bad_times_at_the_el_royale
Godzilla: King of the Monsters,"Streaming Aug 13, 2019",negative,42%,positive,83%,/m/godzilla_king_of_the_monsters_2019
The Coffee Table,"Streaming May 14, 2024",positive,88%,positive,78%,/m/the_coffee_table
The Trial of the Chicago 7,"Streaming Oct 16, 2020",positive,89%,positive,90%,/m/the_trial_of_the_chicago_7
Always Be My Maybe,"Streaming May 31, 2019",positive,89%,positive,80%,/m/always_be_my_maybe_2019
Hamilton,"Streaming Jul 3, 2020",positive,98%,positive,89%,/m/hamilton_2020
Jackie Brown,"Streaming Dec 17, 2015",positive,87%,positive,85%,/m/jackie_brown
Mickey and the Bear,"Streaming Feb 14, 2020",positive,100%,positive,75%,/m/mickey_and_the_bear
V/H/S,"Streaming Dec 5, 2016",negative,56%,negative,41%,/m/vhs
August Rush,"Streaming Nov 30, 2009",negative,37%,positive,82%,/m/august_rush
Jarhead,"Streaming Dec 1, 2015",positive,60%,positive,68%,/m/1152567-jarhead
American Sniper,"Streaming Apr 19, 2016",positive,72%,positive,84%,/m/american_sniper
Bridge of Spies,"Streaming Feb 23, 2016",positive,91%,positive,87%,/m/bridge_of_spies
Lord of War,"Streaming Dec 19, 2015",positive,62%,positive,85%,/m/lord_of_war
Remember Me,"Streaming Dec 20, 2015",negative,26%,positive,69%,/m/1211619-remember_me
The 40 Year-Old Virgin,"Streaming Jul 22, 2015",positive,85%,positive,84%,/m/the_40_year_old_virgin
The Ides of March,"Streaming Jun 7, 2013",positive,84%,positive,73%,/m/the_ides_of_march
The Karate Kid,"Streaming Apr 16, 2012",positive,90%,positive,83%,/m/karate_kid
U-571,"Streaming Feb 14, 2016",positive,68%,positive,61%,/m/u571
Animal Kingdom,"Streaming Feb 17, 2011",positive,94%,positive,83%,/m/animal_kingdom
Gemini Man,"Streaming Oct 11, 2019",negative,27%,positive,83%,/m/gemini_man_2019
13 Going on 30,"Streaming Jun 16, 2010",positive,64%,positive,71%,/m/13_going_on_30
BlacKkKlansman,"Streaming Oct 23, 2018",positive,96%,positive,83%,/m/blackkklansman
Gods of Egypt,"Streaming May 17, 2016",negative,14%,negative,37%,/m/gods_of_egypt
Raiders of the Lost Ark,"Streaming Jan 28, 2014",positive,93%,positive,96%,/m/raiders_of_the_lost_ark
River Wild,"Streaming Aug 1, 2023",positive,76%,negative,37%,/m/river_wild_2023
Star Wars: The Clone Wars,"Streaming Dec 5, 2016",negative,18%,negative,40%,/m/clone_wars
Minions: The Rise of Gru,"Streaming Sep 23, 2022",positive,70%,positive,89%,/m/minions_the_rise_of_gru
The Farewell,"Streaming Aug 27, 2019",positive,97%,positive,87%,/m/the_farewell_2019
Ant-Man and The Wasp,"Streaming Oct 2, 2018",positive,87%,positive,79%,/m/ant_man_and_the_wasp
Fantastic Four,"Streaming Nov 19, 2015",negative,9%,negative,18%,/m/fantastic_four_2015
The Goonies,"Streaming Nov 2, 2010",positive,77%,positive,91%,/m/goonies
The Park Maniac,"Streaming Oct 18, 2024",,,,,/m/the_park_maniac
100 Days to Live,"Streaming Feb 2, 2021",positive,100%,positive,87%,/m/100_days_to_live
A Knight's Tale,"Streaming Apr 16, 2012",negative,59%,positive,79%,/m/knights_tale
Mad God,"Streaming Jun 16, 2022",positive,92%,positive,68%,/m/mad_god
The Founder,"Streaming Apr 4, 2017",positive,80%,positive,82%,/m/the_founder
The Strangers,"Streaming Jun 15, 2012",negative,49%,negative,48%,/m/the_strangers
As Good as It Gets,"Streaming Apr 16, 2012",positive,86%,positive,86%,/m/as_good_as_it_gets
End of Watch,"Streaming Dec 10, 2015",positive,85%,positive,86%,/m/end_of_watch
Event Horizon,"Streaming Aug 1, 2013",negative,35%,positive,61%,/m/event_horizon
3000 Miles to Graceland,"Streaming Feb 1, 2018",negative,15%,negative,46%,/m/3000_miles_to_graceland
I'm Thinking of Ending Things,"Streaming Sep 4, 2020",positive,82%,negative,50%,/m/im_thinking_of_ending_things
Shrek Forever After,"Streaming Nov 25, 2015",negative,58%,negative,54%,/m/shrek_forever_after
The Legend of Tarzan,"Streaming Sep 20, 2016",negative,36%,negative,58%,/m/the_legend_of_tarzan
The Terminal,"Streaming Aug 1, 2014",positive,61%,positive,73%,/m/1133499-1133499-terminal
Haul Out the Holly,"Streaming Nov 26, 2022",,,negative,43%,/m/haul_out_the_holly
Independence Day,"Streaming Sep 18, 2012",positive,68%,positive,75%,/m/1071806-independence_day
Luther: The Fallen Sun,"Streaming Mar 10, 2023",positive,68%,positive,85%,/m/luther_the_fallen_sun
The Magnificent Seven,"Streaming Dec 20, 2016",positive,64%,positive,71%,/m/the_magnificent_seven_2016
Ghostbusters,"Streaming Apr 16, 2012",positive,95%,positive,88%,/m/ghostbusters
Life of Pi,"Streaming Jul 31, 2014",positive,86%,positive,84%,/m/life-of-pi
The 5th Wave,"Streaming Oct 16, 2016",negative,17%,negative,38%,/m/the_fifth_wave
The House of the Devil,"Streaming Mar 22, 2016",positive,85%,positive,63%,/m/the_house_of_the_devil_2009
Beyond a Reasonable Doubt,"Streaming Nov 30, 2016",negative,7%,negative,36%,/m/1212946-beyond_a_reasonable_doubt
Captain Fantastic,"Streaming Oct 11, 2016",positive,82%,positive,85%,/m/captain_fantastic
Let It Snow,"Streaming Nov 8, 2019",positive,85%,negative,47%,/m/let_it_snow_2019
Lightyear,"Streaming Aug 3, 2022",positive,74%,positive,84%,/m/lightyear
