title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score,media_url
Shanghai Noon,"Streaming Dec 10, 2015",positive,80%,positive,65%,/m/shanghai_noon
The Asphalt Jungle,"Streaming Aug 4, 2008",positive,98%,positive,87%,/m/asphalt_jungle
The Bounty,"Streaming Sep 16, 2008",positive,74%,positive,73%,/m/1002947-bounty
The Edge of Love,"Streaming Jul 9, 2019",negative,38%,negative,43%,/m/edge_of_love
The Lair of the White Worm,"Streaming Oct 21, 2016",positive,68%,negative,47%,/m/lair_of_the_white_worm
The Last Sentinel,"Streaming May 11, 2021",,,negative,14%,/m/last_sentinel
The Rhythm Section,"Streaming Apr 14, 2020",negative,28%,negative,44%,/m/the_rhythm_section
The Right Temptation,"Streaming Jan 1, 2012",,,negative,33%,/m/right_temptation
The Rules of Attraction,"Streaming Apr 2, 2013",negative,44%,positive,71%,/m/rules_of_attraction
The Space Between Us,"Streaming May 2, 2017",negative,16%,negative,55%,/m/the_space_between_us
The Troubles: A Dublin Story,"Streaming Mar 5, 2024",,,,,/m/the_troubles_a_dublin_story
The Two Faces of January,"Streaming Jan 14, 2016",positive,80%,negative,48%,/m/the_two_faces_of_january
A Little Chaos,"Streaming Oct 8, 2016",negative,49%,negative,50%,/m/a_little_chaos
A Mouthful of Air,"Streaming Jan 3, 2022",positive,66%,positive,81%,/m/a_mouthful_of_air
A Very British Christmas,"Streaming Dec 1, 2019",,,negative,30%,/m/a_very_british_christmas
An Invisible Victim: The Eliza Samudio Case,"Streaming Sep 26, 2024",,,,,/m/an_invisible_victim_the_eliza_samudio_case
Barbarella,"Streaming Jun 15, 2011",positive,75%,negative,56%,/m/barbarella
Christmas as Usual,"Streaming Dec 6, 2023",,,negative,30%,/m/christmas_as_usual
City Hunter,"Streaming Apr 25, 2024",negative,59%,positive,82%,/m/city_hunter_2024
Columbus,"Streaming Nov 4, 2017",positive,96%,positive,80%,/m/columbus_2017
Confessions of a Dangerous Mind,"Streaming Nov 7, 2016",positive,80%,positive,75%,/m/confessions_of_a_dangerous_mind
Emergency,"Streaming May 27, 2022",positive,91%,positive,73%,/m/emergency_2022
Encino Man,"Streaming Sep 22, 2013",negative,17%,negative,56%,/m/encino_man
Flatliners,"Streaming Apr 16, 2012",negative,50%,negative,59%,/m/flatliners
Grease 2,"Streaming Jan 1, 2011",negative,36%,negative,53%,/m/grease_2
Hideout,"Streaming Nov 8, 2021",,,positive,83%,/m/hideout
House of the Dead,"Streaming Sep 6, 2016",negative,3%,negative,11%,/m/1126175-house_of_the_dead
I Love You Phillip Morris,"Streaming Apr 19, 2016",positive,71%,positive,61%,/m/i_love_you_phillip_morris
In Fear,"Streaming Nov 16, 2015",positive,81%,negative,41%,/m/in_fear_2013
Jason Goes to Hell: The Final Friday,"Streaming Oct 1, 2008",negative,16%,negative,23%,/m/jason_goes_to_hell_the_final_friday
Mr. Smith Goes to Washington,"Streaming Apr 16, 2012",positive,97%,positive,94%,/m/mr_smith_goes_to_washington
Ninja Scroll,"Streaming Mar 3, 2017",positive,89%,positive,89%,/m/ninja-scroll
Race for Glory: Audi vs. Lancia,"Streaming Jan 5, 2024",negative,57%,negative,35%,/m/race_for_glory_audi_vs_lancia
Ravenous,"Streaming Mar 1, 2013",negative,52%,positive,78%,/m/ravenous
Rough Night,"Streaming Jul 10, 2017",negative,45%,negative,29%,/m/rough_night
Shock and Awe,"Streaming Jul 13, 2018",negative,28%,negative,42%,/m/shock_and_awe_2018
Sholay,"Streaming Aug 27, 2019",positive,93%,positive,95%,/m/sholay
So Undercover,"Streaming May 17, 2017",negative,6%,negative,49%,/m/so_undercover
Take Me Home Tonight,"Streaming Jul 18, 2011",negative,29%,negative,42%,/m/take_me_home_tonight
The Burning Sea,"Streaming Feb 25, 2022",positive,71%,negative,52%,/m/the_burning_sea
The Mole Agent,"Streaming Sep 1, 2020",positive,95%,positive,84%,/m/the_mole_agent
The Retaliators,"Streaming Oct 21, 2022",positive,86%,positive,89%,/m/the_retaliators
Top Secret!,"Streaming Jul 1, 2013",positive,76%,positive,80%,/m/1021699-top_secret
Venom,"Streaming May 22, 2017",negative,43%,negative,32%,/m/1022537-venom
Violet Evergarden: The Movie,"Streaming Oct 13, 2021",positive,100%,positive,99%,/m/violet_evergarden_the_movie
Wagons East!,"Streaming Mar 17, 2013",negative,0%,negative,33%,/m/wagons_east
Wes Craven Presents: Dracula 2000,"Streaming Apr 19, 2016",negative,17%,negative,39%,/m/dracula_2000
