title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score,media_url
Let's Start a Cult,"Streaming Nov 12, 2024",,,positive,85%,/m/lets_start_a_cult
Devon,"Streaming Nov 12, 2024",,,,,/m/devon
What We Find on the Road,"Streaming Nov 12, 2024",,,,,/m/what_we_find_on_the_road
Larger Than Life: Reign of the Boybands,"Streaming Nov 12, 2024",,,,,/m/larger_than_life_reign_of_the_boybands
On the Wandering Paths,"Streaming Nov 12, 2024",,,,,/m/on_the_wandering_paths
Veselka: The Rainbow on the Corner at the Center of the World,"Streaming Nov 12, 2024",positive,100%,positive,99%,/m/veselka_the_rainbow_on_the_corner_at_the_center_of_the_world
It's Coming,"Streaming Nov 12, 2024",,,,,/m/its_coming
Did I?,"Streaming Nov 12, 2024",,,,,/m/did_i
Adrienne Iapalucci: The Dark Queen,"Streaming Nov 12, 2024",,,,,/m/adrienne_iapalucci_the_dark_queen
The American Soldier,"Streaming Nov 12, 2024",,,,,/m/the_american_soldier_2024
Apex Predators 2: The Spawning,"Streaming Nov 12, 2024",,,,,/m/apex_predators_2_the_spawning
Emilia Pérez,"Streaming Nov 13, 2024",positive,82%,positive,82%,/m/emilia_perez
Hot Frosty,"Streaming Nov 13, 2024",,,,,/m/hot_frosty
Return of the King: The Fall and Rise of Elvis Presley,"Streaming Nov 13, 2024",,,,,/m/return_of_the_king_the_fall_and_rise_of_elvis_presley
"Carville: Winning Is Everything, Stupid","Streaming Nov 14, 2024",positive,100%,,,/m/carville_winning_is_everything_stupid
Style Me For Christmas,"Streaming Nov 14, 2024",,,,,/m/style_me_for_christmas
Unwrapping Christmas: Mia's Prince,"Streaming Nov 14, 2024",,,,,/m/unwrapping_christmas_mias_prince
Daft State,"Streaming Nov 14, 2024",,,,,/m/daft_state
The Lost Children,"Streaming Nov 14, 2024",,,,,/m/the_lost_children_2024
In Flight,"Streaming Nov 15, 2024",,,,,/m/in_flight
An Almost Christmas Story,"Streaming Nov 15, 2024",,,,,/m/an_almost_christmas_story
Daruma,"Streaming Nov 15, 2024",,,,,/m/daruma
The Night Before Christmas in Wonderland,"Streaming Nov 15, 2024",,,,,/m/the_night_before_christmas_in_wonderland
Get Fast,"Streaming Nov 15, 2024",,,,,/m/get_fast
Allswell in New York,"Streaming Nov 15, 2024",positive,85%,,,/m/allswell_in_new_york
Red Island,"Streaming Nov 15, 2024",positive,84%,,,/m/red_island_2023
A Heart for Christmas,"Streaming Nov 15, 2024",,,,,/m/a_heart_for_christmas
Last Known Location,"Streaming Nov 15, 2024",,,,,/m/last_known_location
I'll Be There,"Streaming Nov 15, 2024",,,,,/m/ill_be_there_2023
Social Net Stories: Millionaire Son,"Streaming Nov 15, 2024",,,,,/m/social_net_stories_millionaire_son
I'll Be There,"Streaming Nov 15, 2024",,,,,/m/ill_be_there_2023
Social Net Stories: Millionaire Son,"Streaming Nov 15, 2024",,,,,/m/social_net_stories_millionaire_son
The Substance,"Streaming Oct 31, 2024",positive,90%,positive,74%,/m/the_substance
The Wild Robot,"Streaming Oct 15, 2024",positive,98%,positive,98%,/m/the_wild_robot
My Old Ass,"Streaming Nov 7, 2024",positive,90%,positive,89%,/m/my_old_ass
Joker: Folie à Deux,"Streaming Oct 29, 2024",negative,32%,negative,32%,/m/joker_folie_a_deux
Woman of the Hour,"Streaming Oct 18, 2024",positive,91%,positive,68%,/m/woman_of_the_hour
Don't Move,"Streaming Oct 25, 2024",positive,72%,negative,38%,/m/dont_move_2024
A Different Man,"Streaming Nov 5, 2024",positive,92%,positive,81%,/m/a_different_man
Apocalypse Z: The Beginning of the End,"Streaming Oct 31, 2024",,,positive,69%,/m/apocalipsis_z_el_principio_del_fin
The Apprentice,"Streaming Nov 1, 2024",positive,82%,positive,84%,/m/the_apprentice
Time Cut,"Streaming Oct 30, 2024",negative,29%,negative,33%,/m/time_cut
Trap,"Streaming Aug 30, 2024",negative,57%,positive,65%,/m/trap_2024
Am I Racist?,"Streaming Oct 28, 2024",positive,69%,positive,96%,/m/am_i_racist
Longlegs,"Streaming Aug 23, 2024",positive,86%,positive,61%,/m/longlegs
The Outrun,"Streaming Nov 5, 2024",positive,81%,positive,82%,/m/the_outrun
Transformers One,"Streaming Oct 22, 2024",positive,89%,positive,98%,/m/transformers_one
The Infiltrator,"Streaming Oct 11, 2016",positive,72%,positive,71%,/m/the_infiltrator
Piece By Piece,"Streaming Oct 29, 2024",positive,82%,positive,90%,/m/piece_by_piece_2024
Super/Man: The Christopher Reeve Story,"Streaming Nov 5, 2024",positive,98%,positive,98%,/m/super_man_the_christopher_reeve_story
Let Go,"Streaming Nov 1, 2024",,,,,/m/let_go
From Straight A's to XXX,"Streaming Oct 7, 2017",,,negative,55%,/m/from_straight_as_to_xxx
Beetlejuice Beetlejuice,"Streaming Oct 8, 2024",positive,76%,positive,79%,/m/beetlejuice_beetlejuice
Strange Darling,"Streaming Oct 1, 2024",positive,95%,positive,85%,/m/strange_darling
Deadpool & Wolverine,"Streaming Oct 1, 2024",positive,78%,positive,94%,/m/deadpool_and_wolverine
Blink Twice,"Streaming Sep 17, 2024",positive,75%,positive,70%,/m/blink_twice
Speak No Evil,"Streaming Oct 1, 2024",positive,83%,positive,84%,/m/speak_no_evil_2024
Caddo Lake,"Streaming Oct 10, 2024",positive,77%,positive,80%,/m/caddo_lake
Twisters,"Streaming Aug 13, 2024",positive,75%,positive,91%,/m/twisters
Late Night with the Devil,"Streaming Apr 19, 2024",positive,97%,positive,82%,/m/late_night_with_the_devil
It's What's Inside,"Streaming Oct 4, 2024",positive,79%,positive,69%,/m/its_whats_inside
It Ends With Us,"Streaming Sep 24, 2024",negative,56%,positive,90%,/m/it_ends_with_us
Starring Jerry as Himself,"Streaming Nov 8, 2024",positive,100%,,,/m/starring_jerry_as_himself
Alien: Romulus,"Streaming Oct 15, 2024",positive,80%,positive,85%,/m/alien_romulus
The Remarkable Life of Ibelin,"Streaming Oct 25, 2024",positive,98%,positive,98%,/m/the_remarkable_life_of_ibelin
Rebel Ridge,"Streaming Sep 6, 2024",positive,96%,positive,73%,/m/rebel_ridge
Pedro Páramo,"Streaming Nov 6, 2024",positive,75%,positive,89%,/m/pedro_paramo_2024
Hit Man,"Streaming Jun 7, 2024",positive,95%,positive,92%,/m/hit_man_2023
Wolfs,"Streaming Sep 27, 2024",positive,67%,negative,51%,/m/wolfs
Predestination,"Streaming Jan 2, 2016",positive,84%,positive,75%,/m/predestination
Interstellar,"Streaming May 24, 2016",positive,73%,positive,86%,/m/interstellar_2014
Oddity,"Streaming Aug 20, 2024",positive,96%,positive,78%,/m/oddity
In the Summers,"Streaming Nov 5, 2024",positive,92%,,,/m/in_the_summers
Civil War,"Streaming May 24, 2024",positive,81%,positive,70%,/m/civil_war_2024
Martha,"Streaming Oct 30, 2024",positive,88%,positive,90%,/m/martha_2024
365 Days,"Streaming Jun 7, 2020",negative,0%,negative,30%,/m/365_days_2020
Canary Black,"Streaming Oct 24, 2024",negative,18%,negative,33%,/m/canary_black
The Shadow Strays,"Streaming Oct 17, 2024",positive,91%,positive,78%,/m/the_shadow_strays
Harold and the Purple Crayon,"Streaming Aug 27, 2024",negative,27%,positive,91%,/m/harold_and_the_purple_crayon
Smile,"Streaming Nov 15, 2022",positive,79%,positive,77%,/m/smile_2022
Poolman,"Streaming May 31, 2024",negative,21%,negative,20%,/m/poolman
Borderlands,"Streaming Aug 30, 2024",negative,10%,negative,51%,/m/borderlands
Hillbilly Elegy,"Streaming Nov 24, 2020",negative,24%,positive,81%,/m/hillbilly_elegy
Brothers,"Streaming Oct 17, 2024",negative,39%,negative,44%,/m/brothers_2024
Black Cab,"Streaming Nov 8, 2024",,,,,/m/black_cab
Venom,"Streaming Jun 18, 2019",negative,30%,positive,80%,/m/venom_2018
A Sudden Case of Christmas,"Streaming Nov 8, 2024",,,,,/m/a_sudden_case_of_christmas
Infinite,"Streaming Jun 10, 2021",negative,17%,negative,34%,/m/infinite
Gladiator,"Streaming Jun 15, 2011",positive,79%,positive,87%,/m/gladiator
The Whale,"Streaming Feb 21, 2023",positive,64%,positive,91%,/m/the_whale_2022
Take Shelter,"Streaming Feb 25, 2014",positive,92%,positive,81%,/m/take_shelter
MaXXXine,"Streaming Aug 2, 2024",positive,72%,positive,77%,/m/maxxxine
Paddington 2,"Streaming Mar 6, 2018",positive,99%,positive,88%,/m/paddington_2
Meet Me Next Christmas,"Streaming Nov 6, 2024",positive,80%,,,/m/meet_me_next_christmas
Look Back,"Streaming Nov 7, 2024",positive,100%,positive,99%,/m/look_back_2024
Terrifier,"Streaming Mar 27, 2018",positive,62%,negative,53%,/m/terrifier
Monkey Man,"Streaming Apr 23, 2024",positive,89%,positive,83%,/m/monkey_man
The Last Rifleman,"Streaming Nov 8, 2024",positive,67%,positive,90%,/m/the_last_rifleman
The Fall Guy,"Streaming May 21, 2024",positive,81%,positive,85%,/m/the_fall_guy_2024
Godzilla Minus One,"Streaming Jun 1, 2024",positive,99%,positive,98%,/m/godzilla_minus_one
Reagan,"Streaming Oct 15, 2024",negative,18%,positive,98%,/m/reagan_2024
Mindcage,"Streaming Dec 16, 2022",negative,18%,positive,60%,/m/mindcage
Pearl,"Streaming Oct 25, 2022",positive,93%,positive,83%,/m/pearl_2022
Cellar Door,"Streaming Nov 1, 2024",negative,21%,,,/m/cellar_door_2024
Challengers,"Streaming May 17, 2024",positive,88%,positive,74%,/m/challengers_2024
