,title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score
0,Am I Racist?,"Streaming Oct 28, 2024",positive,71%,positive,96%
1,Secrets of a Wallaby Boy,"Streaming Oct 28, 2024",,,,
2,Joker: Folie à Deux,"Streaming Oct 29, 2024",negative,32%,negative,32%
3,Piece By Piece,"Streaming Oct 29, 2024",positive,84%,positive,90%
4,The Critic,"Streaming Oct 29, 2024",negative,49%,positive,70%
5,Unnatural,"Streaming Oct 29, 2024",,,,
6,Citizen Weiner,"Streaming Oct 29, 2024",positive,80%,,
7,Amityville: Where the Echo Lives,"Streaming Oct 29, 2024",,,,
8,Olivia Rodrigo: GUTS World Tour,"Streaming Oct 29, 2024",,,,
9,Tom Papa: Home Free,"Streaming Oct 29, 2024",,,,
10,The American Question,"Streaming Oct 29, 2024",,,,
11,The Falling Star,"Streaming Oct 29, 2024",negative,30%,,
12,Time Cut,"Streaming Oct 30, 2024",negative,21%,negative,38%
13,Martha,"Streaming Oct 30, 2024",positive,93%,,
14,The Substance,"Streaming Oct 31, 2024",positive,90%,positive,74%
15,Apocalypse Z: The Beginning of the End,"Streaming Oct 31, 2024",,,positive,69%
16,Beautiful Friend,"Streaming Oct 31, 2024",,,,
17,Megan Thee Stallion: In Her Words,"Streaming Oct 31, 2024",,,,
18,Cellar Door,"Streaming Nov 1, 2024",negative,20%,,
19,Levels,"Streaming Nov 1, 2024",,,,
20,Aftermath,"Streaming Nov 1, 2024",,,,
21,Let Go,"Streaming Nov 1, 2024",,,,
22,The Gutter,"Streaming Nov 1, 2024",positive,63%,,
23,Music by John Williams,"Streaming Nov 1, 2024",positive,100%,,
24,72 Hours,"Streaming Nov 1, 2024",,,,
25,Portraits,"Streaming Nov 1, 2024",,,,
26,Libre,"Streaming Nov 1, 2024",,,,
27,Doc of Chucky,"Streaming Nov 1, 2024",,,,
28,Don Q,"Streaming Nov 1, 2024",,,,
29,It's All Over: The Kiss That Changed Spanish Football,"Streaming Nov 1, 2024",,,,
30,Don Q,"Streaming Nov 1, 2024",,,,
31,It's All Over: The Kiss That Changed Spanish Football,"Streaming Nov 1, 2024",,,,
32,Stealing Jokes,"Streaming Nov 1, 2024",,,,
33,Porch Pirates,"Streaming Nov 1, 2024",,,,
34,Glowzies,"Streaming Nov 1, 2024",,,,
35,Big Rage,"Streaming Nov 1, 2024",,,,
36,Christmas on the Ranch,"Streaming Nov 1, 2024",,,,
37,"Extraction, USA","Streaming Nov 1, 2024",,,,
38,Endurance,"Streaming Nov 2, 2024",,,,
39,Don't Move,"Streaming Oct 25, 2024",positive,69%,negative,39%
40,Woman of the Hour,"Streaming Oct 18, 2024",positive,91%,positive,68%
41,The Wild Robot,"Streaming Oct 15, 2024",positive,98%,positive,98%
42,Trap,"Streaming Aug 30, 2024",negative,57%,positive,65%
43,Strange Darling,"Streaming Oct 1, 2024",positive,95%,positive,85%
44,Caddo Lake,"Streaming Oct 10, 2024",positive,76%,positive,80%
45,Transformers One,"Streaming Oct 22, 2024",positive,89%,positive,98%
46,Longlegs,"Streaming Aug 23, 2024",positive,86%,positive,61%
47,Late Night with the Devil,"Streaming Apr 19, 2024",positive,97%,positive,81%
48,Speak No Evil,"Streaming Oct 1, 2024",positive,83%,positive,84%
49,Beetlejuice Beetlejuice,"Streaming Oct 8, 2024",positive,77%,positive,79%
50,Alien: Romulus,"Streaming Oct 15, 2024",positive,80%,positive,85%
51,Smile,"Streaming Nov 15, 2022",positive,79%,positive,77%
52,Venom,"Streaming Jun 18, 2019",negative,30%,positive,80%
